Mean Audio,Median Audio,Mode Audio,Maxv Audio,Minv Audio,Std Audio,Skew Audio,Kurtosis Audio,Q1 Audio,Q3 Audio,IQR Audio,Mean ZCR,Median ZCR,Std ZCR,Kurtosis ZCR,Skew ZCR,Mean Energy RMSE,Median Energy RMSE,Kurtosis Energy RMSE,Std Energy RMSE,Skew Energy RMSE,Label
-1.3730982589108613e-05,-1.3730982589114076e-05,-0.5,0.4999725380348218,-0.5,0.28867513448595933,6.096194122239766e-17,-1.2000000018099828,-0.2500068654912946,0.24997940352611633,0.49998626901741094,0.09077962239583333,0.05126953125,0.11130717565620804,4.808554151461869,2.332101653177296,0.04615752,0.04615752,0.04615752,0.04615752,0.04615752,Orang1_angry
1.1085991001620286e-17,0.0,-0.4999837477653178,0.4999837477653178,-0.4999837477653178,0.2886751344423144,2.6402062084046636e-17,-1.2000000025356972,-0.2499918738826589,0.2499918738826589,0.4999837477653178,0.11116002817622951,0.0732421875,0.09758137359240023,2.2994950349518337,1.7566694449529747,0.046201847,0.046201847,0.046201847,0.046201847,0.046201847,Orang1_angry
-1.5814777327942416e-05,-1.5814777327935223e-05,-0.5,0.49996837044534415,-0.5,0.28867513445041343,2.8026986564248106e-17,-1.200000002401029,-0.25000790738866396,0.2499762778340081,0.4999841852226721,0.10672095514112903,0.07275390625,0.1097907894295448,4.727943968475603,2.299578936832368,0.048010588,0.048010588,0.048010588,0.048010588,0.048010588,Orang1_angry
-1.3871164622974649e-05,-1.3871164622981745e-05,-0.5,0.49997225767075404,-0.5,0.28867513448372534,-4.378759847988084e-17,-1.2000000018471277,-0.25000693558231146,0.24997919325306553,0.49998612883537696,0.08704472931338028,0.048828125,0.10468482727996518,6.493835063479583,2.6330751301278674,0.06322656,0.06322656,0.06322656,0.06322656,0.06322656,Orang1_angry
3.4370013016451154e-18,0.0,-0.49998534197179795,0.49998534197179795,-0.49998534197179795,0.2886751344707647,-8.026062133038687e-17,-1.2000000020626347,-0.249992670985899,0.249992670985899,0.499985341971798,0.08571886660447761,0.0634765625,0.08687205686930681,5.9218873635725515,2.4541989340520005,0.029578783,0.029578783,0.029578783,0.029578783,0.029578783,Orang1_angry
-1.3414176101303859e-05,-1.3414176101303859e-05,-0.5,0.4999731716477974,-0.5,0.2886751344909244,-5.745053522210366e-17,-1.200000001727425,-0.2500067070880506,0.24997987873584807,0.49998658582389865,0.08478034032534247,0.0537109375,0.10541713175220611,7.577017604061059,2.8945644574071583,0.06656903,0.06656903,0.06656903,0.06656903,0.06656903,Orang1_angry
-9.5946356419627e-18,0.0,-0.4999859341153965,0.4999859341153965,-0.4999859341153965,0.2886751344805847,-3.3561370918743467e-17,-1.200000001899352,-0.24999296705769825,0.24999296705769825,0.4999859341153965,0.07161690848214286,0.05029296875,0.08825185877960798,7.75937785767416,2.737576419286233,0.03705945,0.03705945,0.03705945,0.03705945,0.03705945,Orang1_angry
-8.462276457827692e-18,0.0,-0.49998646636892674,0.49998646636892674,-0.49998646636892674,0.28867513448906584,5.921132370913454e-17,-1.2000000017583279,-0.24999323318446337,0.24999323318446337,0.49998646636892674,0.08578365796232877,0.06201171875,0.09216504720858683,8.221133385586912,2.821870587272529,0.042673957,0.042673957,0.042673957,0.042673957,0.042673957,Orang1_angry
8.442478833896653e-18,0.0,-0.49998482779547865,0.49998482779547865,-0.49998482779547865,0.2886751344619093,-6.209731627951775e-17,-1.2000000022098798,-0.24999241389773935,0.24999241389773935,0.4999848277954787,0.07129657451923077,0.05712890625,0.06516755872315902,7.582321520805886,2.6981305632071306,0.027596973,0.027596973,0.027596973,0.027596973,0.027596973,Orang1_angry
-1.4814814814810078e-05,-1.4814814814814815e-05,-0.5,0.4999703703703704,-0.5,0.2886751344680968,-1.3485310012324945e-16,-1.2000000021069965,-0.2500074074074074,0.2499777777777778,0.4999851851851852,0.11825284090909091,0.063720703125,0.11518313762340342,0.9283184868451304,1.4953328670421224,0.041629773,0.041629773,0.041629773,0.041629773,0.041629773,Orang1_angry
